race_number,fav_horse_id,fav_odds,fav_finish,won,user_pnl_after,bankroll_after
2952,3,3.36,1,1,236.00,8764.00
2953,16,2.79,3,0,136.00,8864.00
2954,16,2.33,1,1,269.00,8731.00
2955,4,2.16,1,1,385.00,8615.00
2956,16,2.56,2,0,285.00,8715.00
2957,12,2.43,1,1,428.00,8572.00
2958,8,2.23,3,0,328.00,8672.00
2959,4,3.50,4,0,228.00,8772.00
2960,1,2.46,2,0,128.00,8872.00
2961,8,3.71,2,0,28.00,8972.00
2962,16,2.39,2,0,-72.00,9072.00
2963,16,2.21,1,1,49.00,8951.00
2964,14,3.05,5,0,-51.00,9051.00
2965,8,2.76,7,0,-151.00,9151.00
2966,3,3.01,5,0,-251.00,9251.00
2967,8,2.40,3,0,-351.00,9351.00
2968,4,2.88,2,0,-451.00,9451.00
2969,3,3.82,7,0,-551.00,9551.00
2970,12,2.89,1,1,-362.00,9362.00
2971,3,3.38,5,0,-462.00,9462.00
2972,8,3.16,5,0,-562.00,9562.00
2973,12,4.29,5,0,-662.00,9662.00
2974,16,2.22,1,1,-540.00,9540.00
2975,4,2.51,2,0,-640.00,9640.00
2976,8,3.37,2,0,-740.00,9740.00
2977,8,1.30,2,0,-840.00,9840.00
2978,8,3.07,5,0,-940.00,9940.00
2979,8,3.26,2,0,-1040.00,10040.00
2980,8,3.66,4,0,-1140.00,10140.00
2981,3,3.09,1,1,-931.00,9931.00
2982,12,4.34,2,0,-1031.00,10031.00
2983,16,2.50,4,0,-1131.00,10131.00
2984,3,3.07,1,1,-924.00,9924.00
2985,16,2.19,2,0,-1024.00,10024.00
2986,8,2.10,7,0,-1124.00,10124.00
2987,14,2.11,2,0,-1224.00,10224.00
2988,14,2.58,1,1,-1066.00,10066.00
2989,4,2.89,1,1,-877.00,9877.00
2990,8,1.94,1,1,-783.00,9783.00
2991,3,3.02,2,0,-883.00,9883.00
2992,12,2.94,2,0,-983.00,9983.00
2993,16,2.55,6,0,-1083.00,10083.00
2994,14,3.16,6,0,-1183.00,10183.00
2995,4,2.02,3,0,-1283.00,10283.00
2996,4,4.23,1,1,-960.00,9960.00
2997,14,3.44,7,0,-1060.00,10060.00
2998,16,2.82,5,0,-1160.00,10160.00
2999,3,3.63,4,0,-1260.00,10260.00
3000,3,4.12,2,0,-1360.00,10360.00
3001,4,3.08,1,1,-1152.00,10152.00
3002,8,5.24,1,1,-728.00,9728.00
3003,3,3.17,5,0,-828.00,9828.00
3004,16,2.59,2,0,-928.00,9928.00
3005,12,3.00,5,0,-1028.00,10028.00
3006,8,3.92,3,0,-1128.00,10128.00
3007,14,2.41,1,1,-987.00,9987.00
3008,16,2.35,1,1,-852.00,9852.00
3009,12,4.08,8,0,-952.00,9952.00
3010,16,3.25,3,0,-1052.00,10052.00
3011,14,2.61,4,0,-1152.00,10152.00
3012,3,3.16,4,0,-1252.00,10252.00
3013,14,3.55,6,0,-1352.00,10352.00
3014,3,2.16,1,1,-1236.00,10236.00
3015,14,2.40,1,1,-1096.00,10096.00
3016,3,3.38,6,0,-1196.00,10196.00
3017,4,4.62,7,0,-1296.00,10296.00
3018,16,2.38,1,1,-1158.00,10158.00
3019,3,2.87,5,0,-1258.00,10258.00
3020,16,2.12,1,1,-1146.00,10146.00
3021,8,2.20,1,1,-1026.00,10026.00
3022,4,4.38,4,0,-1126.00,10126.00
3023,3,3.21,5,0,-1226.00,10226.00
3024,16,4.88,4,0,-1326.00,10326.00
3025,1,3.22,3,0,-1426.00,10426.00
3026,16,2.05,1,1,-1321.00,10321.00
3027,14,3.30,1,1,-1091.00,10091.00
3028,16,4.25,5,0,-1191.00,10191.00
3029,16,2.23,2,0,-1291.00,10291.00
3030,14,3.58,8,0,-1391.00,10391.00
3031,9,5.36,7,0,-1491.00,10491.00
3032,16,2.62,2,0,-1591.00,10591.00
3033,4,3.27,7,0,-1691.00,10691.00
3034,8,2.18,1,1,-1573.00,10573.00
3035,3,2.86,6,0,-1673.00,10673.00
3036,8,1.77,1,1,-1596.00,10596.00
3037,14,2.78,1,1,-1418.00,10418.00
3038,3,3.21,5,0,-1518.00,10518.00
3039,14,3.13,2,0,-1618.00,10618.00
3040,16,4.33,8,0,-1718.00,10718.00
3041,1,3.19,5,0,-1818.00,10818.00
3042,8,2.37,2,0,-1918.00,10918.00
3043,4,2.88,1,1,-1730.00,10730.00
3044,3,4.30,5,0,-1830.00,10830.00
3045,16,2.30,1,1,-1700.00,10700.00
3046,14,2.55,6,0,-1800.00,10800.00
3047,16,2.64,2,0,-1900.00,10900.00
3048,8,4.23,1,1,-1577.00,10577.00
3049,4,2.98,5,0,-1677.00,10677.00
3050,8,1.43,1,1,-1634.00,10634.00
3051,8,2.27,2,0,-1734.00,10734.00
3052,3,3.28,1,1,-1506.00,10506.00
3053,16,2.97,3,0,-1606.00,10606.00
3054,3,3.09,1,1,-1397.00,10397.00
3055,16,2.57,5,0,-1497.00,10497.00
3056,3,3.13,2,0,-1597.00,10597.00
3057,8,3.26,2,0,-1697.00,10697.00
